"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","ED1","GA1","GA2","GA3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"07116599999","1997-11-28T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0072,1","00630,1,9,N","004000,1,N,1","+0130,1","+0110,1","99999,9","1,999",,"07,1,+00630,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10031,1,99999,9","80,1",,,"MET005NEW ;",
"07116599999","1997-12-01T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","140,1,N,0051,1","00300,1,9,N","011265,1,N,1","+0090,1","+0080,1","99999,9","1,999",,"08,1,+00300,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10071,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-02T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","010,1,N,0082,1","00900,1,9,N","011265,1,N,1","+0060,1","+0000,1","99999,9","1,999",,"07,1,+00900,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,"0139,1","MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-02T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","010,1,N,0072,1","22000,1,C,N","011265,1,N,1","+0070,1","+0000,1","99999,9","1,999",,"02,1,+01080,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-03T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","010,1,N,0031,1","22000,1,C,N","011265,1,N,1","+0050,1","+0000,1","99999,9","1,999",,"02,1,+00930,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-03T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","030,1,N,0041,1","22000,1,C,N","011265,1,N,1","+0080,1","-0010,1","99999,9","1,999",,"02,1,+01110,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-03T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","020,1,N,0041,1","01140,1,9,N","011265,1,N,1","+0070,1","+0020,1","99999,9","1,999",,"07,1,+01140,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-04T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","050,1,N,0031,1","00630,1,9,N","007000,1,N,1","+0040,1","+0030,1","99999,9","1,999",,"07,1,+00630,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","81,1",,,"MET005NEW ;",
"07116599999","1997-12-04T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","030,1,N,0051,1","22000,1,C,N","011265,1,N,1","+0070,1","+0020,1","99999,9","1,999",,"07,1,+00810,9,99,9","02,1,+01110,9,99,9",,,"10210,1,99999,9",,,,"MET005NEW ;","Q01+000042SCOTCVQ02+000000PRSWM2"
"07116599999","1997-12-05T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","200,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0010,1","+0000,1","99999,9","1,999",,,,,,"10240,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-12-05T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0021,1","03900,1,9,N","009000,1,N,1","+0080,1","+0030,1","99999,9","1,999",,"02,1,+00870,9,99,9","07,1,+03900,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10240,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-06T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","220,1,N,0051,1","99999,1,C,Y","009900,1,N,1","+0080,1","+0050,1","99999,9","1,999",,,,,,"10230,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-12-06T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","210,1,N,0041,1","22000,1,C,N","008000,1,N,1","+0090,1","+0050,1","99999,9","1,999",,"02,1,+06900,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-07T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0082,1","99999,1,C,Y","009900,1,N,1","+0100,1","+0070,1","99999,9","1,999",,,,,,"10102,1,99999,9",,,"0149,1","MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-12-07T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0082,1","00270,1,9,N","005000,1,N,1","+0110,1","+0100,1","99999,9","1,999",,"08,1,+00270,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10061,1,99999,9","61,1",,,"MET005NEW ;",
"07116599999","1997-12-08T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0082,1","00480,1,9,N","011265,1,N,1","+0120,1","+0100,1","99999,9","1,999",,"07,1,+00480,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10020,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-08T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","270,1,N,0062,1","00810,1,9,N","011265,1,N,1","+0100,1","+0080,1","99999,9","1,999",,"07,1,+00810,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10020,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
