"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","AY1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","OC1","REM","EQD"
"07301399999","1990-01-04T15:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","210,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0100,1","+0080,1","99999,9","2,999",,,,,,,"10230,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-05T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0010,1","00030,1,C,N","000500,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"09,1,+99999,9,99,9",,,,,"10251,1,99999,9","45,1",,,
"07301399999","1990-01-05T07:18:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0010,1","00030,1,C,N","000500,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"09,1,+99999,9,99,9",,,,,"10261,1,99999,9","45,1",,,
"07301399999","1990-01-05T08:23:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0021,1","00060,1,C,N","000700,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"09,1,+99999,9,99,9",,,,,"10261,1,99999,9","43,1",,,
"07301399999","1990-01-05T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00030,1,C,N","000300,1,N,1","+0060,1","+0060,1","99999,9","2,000",,"09,1,+99999,9,99,9",,,,,"10271,1,99999,9","47,1",,,
"07301399999","1990-01-05T10:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","00060,1,C,N","000600,1,N,1","+0060,1","+0060,1","99999,9","2,999",,"09,1,+99999,9,99,9",,,,,"10271,1,99999,9","43,1",,,
"07301399999","1990-01-05T10:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","00030,1,C,N","000300,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"09,1,+99999,9,99,9",,,,,"10271,1,99999,9","47,1",,,
"07301399999","1990-01-05T11:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0021,1","00060,1,C,N","001200,1,N,1","+0070,1","+0070,1","99999,9","2,000",,"07,1,+00060,9,07,9",,,,,"10261,1,99999,9","10,1",,,
"07301399999","1990-01-05T13:30:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","22000,1,C,N","007000,1,N,1","+0090,1","+0070,1","99999,9","2,999",,"01,1,+00090,9,07,9",,,,,"10251,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-05T14:30:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","180,1,N,0031,1","22000,1,C,N","011200,1,N,1","+0120,1","+0100,1","99999,9","2,000",,"01,1,+00150,9,07,9",,,,,"10251,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-05T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","160,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0120,1","+0090,1","99999,9","2,000",,,,,,,"10251,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-05T16:08:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0021,1","22000,1,C,N","008000,1,N,1","+0100,1","+0090,1","99999,9","2,999",,,,,,,"10251,1,99999,9",,,,"Q01+000000PRSWM2"
